Design Principle,Category,Metric,Mean,Variance
DP1 - Emotionally Intelligent & Stereotype-Neutral,Core Metric,Anthropomorphism,3.59,0.84
DP1 - Emotionally Intelligent & Stereotype-Neutral,Core Metric,Identification,3.78,0.41
DP1 - Emotionally Intelligent & Stereotype-Neutral,Meta-Requirement,Gender-Consciousness (MR1),4.59,1.03
DP1 - Emotionally Intelligent & Stereotype-Neutral,Meta-Requirement,Empathic Intuition (MR2),4.27,1.17
DP2 - Trustworthy & Personalized Community,Core Metric,Trustworthiness,4.79,0.18
DP2 - Trustworthy & Personalized Community,Meta-Requirement,Personal Visual Engagement (MR3),1.36,0.37
DP2 - Trustworthy & Personalized Community,Meta-Requirement,Credibility Relatability (MR4),4.66,0.75
DP2 - Trustworthy & Personalized Community,Meta-Requirement,Inclusive Community (MR5),3.53,1.75
DP3 - Empowering & Streamlined Interactions,Core Metric,Goal Facilitation,4.83,0.2
DP3 - Empowering & Streamlined Interactions,Core Metric,Usefulness,4.28,0.4
DP3 - Empowering & Streamlined Interactions,Core Metric,Accessibility,4.46,1.02
DP3 - Empowering & Streamlined Interactions,Core Metric,Attractivity,4.12,1.67
DP3 - Empowering & Streamlined Interactions,Meta-Requirement,User Agency (MR6),4.63,0.74
DP3 - Empowering & Streamlined Interactions,Meta-Requirement,Cognitive Simplicity (MR7),4.28,1.61
