Theme,Gender-Consciousness (MR1),Empathic Intuition (MR2),Personal Visual Engagement (MR3),Credibility Relatability (MR4),Inclusive Community (MR5),User Agency (MR6),Cognitive Simplicity (MR7)
Career Navigation,4.62,4.12,1.62,4.62,3.25,4.88,4.25
Confidence & Self-Efficacy,5.0,5.0,1.17,4.58,3.58,4.5,4.33
Family Expectations,4.5,4.62,2.0,4.25,3.75,4.88,4.38
Gendered Culture,4.12,4.0,1.12,4.88,4.25,4.62,4.62
General Support,4.75,4.38,1.25,4.75,3.12,4.5,3.75
HR & Reporting Challenges,4.5,3.25,1.25,4.12,2.88,4.25,3.0
Impression Management,4.75,4.75,1.12,4.88,4.0,4.88,4.38
Male Allyship,4.75,4.25,1.5,4.75,4.12,4.75,4.75
Mentorship Gaps,4.38,4.25,1.5,4.38,3.75,4.38,4.5
Motivation & Burnout,5.0,4.38,1.25,5.0,2.5,4.75,4.75
Passion & Career Purpose,4.25,4.12,1.62,4.62,2.5,4.25,4.0
Proactive Leadership,4.5,4.12,1.25,4.88,4.88,4.75,4.12
Stereotypes at Work,4.62,4.0,1.5,4.75,3.75,4.88,4.75
Work-Life Balance,4.25,4.12,1.0,4.75,3.12,4.62,4.38
